Provinces,Population,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Pursat,Gen,285360,288249,291167,288449,285756,283088,280445,277827,275233,272663,270118,267596,265098,262623,260171,257742,255336,252952,250590,248251,245933,243637,241363,239109,236877,234665,232475,230304,228154,226024
Ratanak Kiri,Gen,117742,122106,126631,128866,131140,133454,135809,138205,140644,143126,145651,148222,150837,153499,156208,158964,161769,164624,167529,170485,173494,176555,179671,182841,186068,189351,192692,196093,199553,203074
Siem Reap,Gen,625675,626677,627680,636809,646071,655467,665001,674672,684485,694440,704540,714787,725183,735730,746431,757287,768301,779475,790812,802314,813983,825821,837832,850018,862381,874923,887648,900558,913656,926944
Preah Sihanouk,Gen,154444,156818,159229,164384,169706,175201,180873,186729,192775,199016,205460,212112,218979,226069,233388,240945,248746,256799,265113,273697,282558,291706,301151,310901,320967,331359,342087,353162,364597,376401
Stung Treng,Gen,80004,80834,81673,85318,89126,93104,97259,101600,106134,110871,115819,120988,126388,132029,137921,144077,150507,157224,164241,171571,179228,187227,195583,204312,213431,222956,232907,243302,254160,265504
Svay Rieng,Gen,355317,362642,370119,364884,359723,354635,349619,344674,339799,334993,330255,325584,320979,316439,311963,307551,303201,298912,294684,290516,286407,282356,278363,274425,270544,266717,262945,259226,255559,251945
Takeo,Gen,597656,600978,604318,601684,599061,596450,593850,591261,588684,586118,583563,581019,578487,575965,573454,570955,568466,565988,563521,561065,558619,556184,553760,551346,548942,546550,544167,541795,539433,537082
Oddar Meanchey,Gen,142371,147419,152645,155765,158948,162196,165511,168893,172345,175867,179461,183129,186871,190690,194587,198564,202622,206763,210989,215300,219700,224190,228772,233447,238218,243087,248054,253124,258297,263576
Kep,Gen,25412,25558,25705,26037,26373,26714,27059,27408,27762,28120,28484,28851,29224,29601,29984,30371,30763,31160,31563,31970,32383,32801,33225,33654,34088,34529,34974,35426,35883,36347
Pailin,Gen,44443,43804,43175,43788,44409,45039,45678,46327,46984,47651,48327,49013,49708,50414,51129,51855,52590,53337,54094,54861,55640,56429,57230,58042,58866,59701,60548,61408,62279,63163
Phnom Penh National Hospital,Gen,968133,1011006,1055777,1097447,1140761,1185785,1232586,1281234,1331802,1384366,1439004,1495800,1554836,1616203,1679992,1746298,1815221,1886865,1961336,2038747,2119213,2202855,2289798,2380172,2474113,2571762,2673265,2778775,2888448,3002450
Ratanak Kiri Ratanakiri,Gen,117742,122106,126631,128866,131140,133454,135809,138205,140644,143126,145651,148222,150837,153499,156208,158964,161769,164624,167529,170485,173494,176555,179671,182841,186068,189351,192692,196093,199553,203074
Siem Reap Siemreap,Gen,625675,626677,627680,636809,646071,655467,665001,674672,684485,694440,704540,714787,725183,735730,746431,757287,768301,779475,790812,802314,813983,825821,837832,850018,862381,874923,887648,900558,913656,926944
Sihanoukville Preah Sihanouk,Gen,154444,156818,159229,164384,169706,175201,180873,186729,192775,199016,205460,212112,218979,226069,233388,240945,248746,256799,265113,273697,282558,291706,301151,310901,320967,331359,342087,353162,364597,376401
Kampong Cham Tbong Khmum,Gen,1167872,1170694,1173524,1163731,1154021,1144391,1134841,1125372,1115981,1106669,1097434,1088276,1079195,1070190,1061260,1052404,1043622,1034913,1026278,1017714,1009221,1000800,992449,984167,975955,967811,959735,951726,943785,935909
